"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"quickstart_pokestopnear|1"	"The PokéStop will change its shape when you walk close enough. Tap it to interact with it."	"ポケストップへ近づくと形が変わるんだ。さあタップしてみよう。"	"Le PokéStop change de forme lorsque tu t’en approches. Touche-le pour l'ouvrir."	"La Poképarada cambiará de forma cuando estés lo bastante cerca. Tócala para interactuar con ella."	"Der PokéStop ändert seine Form, wenn du nah genug dran bist. Tippe drauf, um ihn zu öffnen."	"Il Pokéstop cambierà aspetto quando ti avvicini. Prova a toccarlo!"	"포켓스톱에 다가가면 모양이 변해. 자 터치해보자."	"當你靠近寶可補給站的時候，它的形狀會改變。試著點擊它吧。"	"A Poképarada mudará de forma quando chegar perto dela. Toque-a para interagir com ela."
"quickstart_pokestopspin|1"	"Spin the Photo Disc to generate items. Tap or swipe the items to collect them."	"中心の部分を勢いよくスワイプすると回転して道具が出てくるぞ。"	"Fais tourner le PhotoDisque pour générer des objets. Touche les objets pour les prendre."	"Dale vueltas al fotodisco para que salgan objetos. Toca o pasa el dedo por ellos para conseguirlos."	"Drehe die Scheibe, um Items zu erhalten. Zum Einsammeln drauftippen oder drüberstreichen."	"Fai girare il centro della struttura per generare strumenti. Tocca gli strumenti per raccoglierli."	"중심 부분을 강하게 스와이프하면 회전하면서 도구가 나오지."	"轉動畫面中央的轉盤，就會有道具出現喔。"	"Gire o centro da estrutura para gerar itens. Toque ou passe o dedo nos itens para recolhê-los."
"quickstart_gymmap|1"	"This is a Gym."	"これがジムだ。"	"Ceci est une Arène."	"Esto es un Gimnasio."	"Dies ist eine Arena."	"Questa è una Palestra."	"이것이 체육관이다."	"這是道館。"	"Isto é um Ginásio."
"quickstart_gymmap|2"	"Teams battle for control of these real-world locations."	"この特別な場所をめぐって、３つのチームがバトルの腕を競っているんだ。"	"Les équipes s’affrontent pour prendre le contrôle de ces lieux réels."	"Los equipos combaten por el control de estos lugares situados en el mundo real."	"Teams kämpfen um die Kontrolle dieser Standorte."	"Ogni Palestra è contesa da tre squadre diverse."	"이 특별한 장소를 두고 3개의 팀이 배틀 실력을 경쟁하고 있지."	"3支隊伍會在這裡一決高下，爭奪道館的所有權。"	"As equipes batalham pelo controle destes locais no mundo real."
"quickstart_gymbuttons_assign|1"	"Assign one of your Pokémon to an open Gym to claim it for your team. Strengthen a friendly Gym by assigning one of your Pokémon to help defend it."	"無所属のジムにポケモンを１匹選んで配置すると、自分のチームのジムにできる。同じ色の仲間チームのジムには、自分のポケモンを１匹選んで配置できるぞ。"	"Assigne l’un de tes Pokémon à une Arène vide pour en prendre possession. Renforce une Arène amicale en assignant l’un de tes Pokémon à sa défense."	"Asigna a uno de tus Pokémon a un Gimnasio vacío para reclamarlo para tu equipo. Fortalece un Gimnasio amigo asignando a uno de tus Pokémon para que ayude a defenderlo."	"Weise eines deiner Pokémon einer leeren Arena zu, um sie für dein Team in Besitz zu nehmen. Stärke eine freundliche Arena, indem du ihr eines deiner Pokémon zuweist, um bei der Verteidigung zu helfen."	"Assegna uno dei tuoi Pokémon a una Palestra vuota per rivendicarla per la tua squadra. Rinforza una Palestra amica assegnandogli uno dei tuoi Pokémon per aiutare a difenderla."	"무소속 체육관에 포켓몬을 1마리 선택하고 배치시키면 자신의 팀 체육관으로 할 수 있어. 같은 색의 동료팀 체육관에는 자신의 포켓몬을 1마리 선택해서 배치할 수 있어."	"把1隻寶可夢指派到公開道館後，你的隊伍就可以占領那間道館。把你的寶可夢指派到相同顏色的我方道館，跟隊友一起防禦道館吧。"	"Designe um de seus Pokémon a um Ginásio vazio para reivindicá-lo à sua equipe. Fortaleça um Ginásio amigo designando um de seus Pokémon para ajudar a defendê-lo."
"quickstart_gymbuttons_train|1"	"Train the Pokémon at a friendly Gym to increase the Gym's Prestige and level."	"仲間チームのジムでトレーニングバトルをすると、名声とレベルを上げられる。"	"Dresse les Pokémon présents dans une Arène amicale pour augmenter son prestige et son niveau."	"Entrena a los Pokémon en un Gimnasio amigo para aumentar el prestigio y el nivel del Gimnasio."	"Trainiere das Pokémon in einer freundlichen Arena, um das Prestige und den Level der Arena zu erhöhen."	"Allena i tuoi Pokémon presso una Palestra amica per aumentarne il grado di prestigio e il livello."	"동료팀의 체육관에서 트레이닝 배틀을 하면 명성과 레벨을 높일 수 있어."	"在我方道館訓練寶可夢，便可提升道館的聲望值和等級。"	"Treine seus Pokémon em um Ginásio amigo para aumentar o prestígio e o nível do Ginásio."
"quickstart_gymbuttons_battle|1"	"Challenge a rival Gym to lower its Prestige and level."	"別チームのジムにバトルを挑めば、名声とレベルを下げられる。"	"Défie une Arène rivale pour abaisser son prestige et son niveau."	"Desafía a un Gimnasio rival para bajar su prestigio y nivel."	"Fordere eine gegnerische Arena heraus, um deren Prestige und Level zu senken."	"Sfida una Palestra rivale per diminuirne il grado di prestigio e il livello."	"다른 팀에 배틀을 도전하면 명성과 레벨이 떨어진다."	"挑戰敵方道館，降低該道館的聲望值和等級。"	"Desafie um Ginásio rival para diminuir o prestígio e o nível dele."
"quickstart_battledodge|1"	"During battle, swipe left or right to dodge incoming attacks."	"バトル中は、左右にスワイプして攻撃をかわすことができる。"	"Lors d’un combat, fais glisser ton doigt à gauche ou à droite pour éviter les attaques."	"Durante un combate, desliza el dedo a izquierda o derecha para esquivar ataques."	"Streiche im Kampf nach links oder rechts, um Attacken auszuweichen."	"Durante una lotta, fai scivolare il dito a destra o sinistra per schivare gli attacchi in arrivo."	"배틀 중에는 좌우로 스와이프에서 공격을 피할 수 있다."	"對戰時，你可以左右滑動畫面來閃避攻擊。"	"Durante uma batalha, deslize o dedo para a direita ou esquerda para desviar de ataques."
"appraise_intro_1|1"	"Hello, {0}. I am available to analyze your {1}, if you wish."	"{0}、きみの {1} を分析してあげよう。"	"Bonjour, {0}. Je peux évaluer ton {1}, si tu veux."	"Hola, <b>{0}</b>. Puedo analizar tu <b>{1}</b> si quieres."	"Hallo {0}! Möchtest du, dass ich dein {1} analysiere?"	"Ciao {0}. Se vuoi posso analizzare il tuo {1}."	"{0}, 너의 {1} (을)를 분석해주자."	"嗨，{0}。我來分析一下你的 {1} 吧。"	"Oi, {0}. Posso analisar seu {1} se você quiser."
"appraise_size_tiny_1|1"	"Your {0} is tinier than any we have on record. Astounding."	"きみの {0} は記録に残っているかぎり、最小のようだ。驚異的。"	"Ton {0} est l’un des plus petits Pokémon existants. Étonnant."	"Tu <b>{0}</b> es el más pequeño de entre los que tenemos registrados. Asombroso."	"Dein {0} ist winziger als alle, die wir bisher erfasst haben. Erstaunlich."	"Questo {0} è il più piccolo mai visto prima. Incredibile."	"너의 {0} (은)는 기록에 있는 한 최소인 것 같다. 놀라운데."	"你的 {0} 是我們有史以來見過最小的。太驚人了。"	"Seu {0} é menor do que os que temos no registro. Impressionante."
"appraise_size_small_1|1"	"Your {0} is below average in size."	"きみの {0} は平均より小さい。"	"Ton {0} est de taille inférieure à la moyenne."	"Tu <b>{0}</b> está por debajo de la media en tamaño."	"Dein {0} ist kleiner als normal."	"Le dimensioni del tuo {0} sono sotto la media."	"너의 {0} (은)는 평균보다 작아."	"你的 {0} 比一般尺寸小。"	"Seu {0} está abaixo da média de tamanho."
"appraise_size_large_1|1"	"Your {0} is above average in size."	"きみの {0} は平均より大きい。"	"Ton {0} est de taille supérieure à la moyenne."	"Tu <b>{0}</b> está por encima de la media en tamaño."	"Dein {0} ist größer als normal."	"Le dimensioni del tuo {0} sono sopra la media."	"너의 {0} (은)는 평균보다 크다."	"你的 {0} 比一般尺寸大。"	"Seu {0} está acima da média de tamanho."
"appraise_size_huge_1|1"	"The size of your {0} is...colossal. This is indeed exceptional. Fascinating!"	"{0} の大きさは... 分類できないほどだ。興味深い。"	"Ton {0} est... colossal. Une vraie anomalie statistique. C’est fascinant !"	"El tamaño de tu <b>{0}</b> es... colosal. Una anomalía estadística. ¡Fascinante!"	"Dein {0} ist ... kolossal. Eine statistische Anomalie. Faszinierend!"	"Le dimensioni di questo {0} sono... colossali. Un'anomalia statistica, non c'è dubbio!"	"{0} 의 크기는... 분류할 수 없을 정도다. 흥미로워."	"你的 {0} ……真是太巨大了。這個尺寸實在是異常地大。太厲害了！"	"O tamanho de seu {0} é colossal. Isto é realmente incrível. Fascinante!"
"appraise_stat_low_1|1"	"Its stats are not out of the norm, in my estimation."	"この点において、まあまあと言える。"	"Ses stats n'ont rien d'anormal, à priori."	"Sus características dejan un poco que desear, yo diría."	"Seine Werte sind insgesamt ganz okay."	"Credo che le sue statistiche non siano fuori dell'ordinario."	"이 점을 보면 그럭저럭 이라고 할 수 있군."	"就我個人而言，我覺得牠算是蠻普通的。"	"Creio que seus dados não estão fora do normal."
"appraise_stat_mid_1|1"	"Its stats are noticeably trending to the positive."	"この点において、かなりの強さと言えるだろう。"	"Ses stats s'améliorent à vue d'œil."	"Sus características están bastante bien."	"Seine Werte sind recht beeindruckend."	"La sue statistiche sono piuttosto buone."	"이 점을 보면 꽤 강하다고 말할 수 있군."	"牠十分地強大，能力仍在成長中。"	"Seus dados estão muito bons."
"appraise_stat_high_1|1"	"I am certainly impressed by its stats, I must say."	"この点において素晴らしい。驚いているよ。"	"Je suis impressionnée par ses stats, à vrai dire."	"Debo decir que sus características son realmente impresionantes."	"Ich muss sagen, dass ich von seinen Werten sehr beeindruckt bin."	"Devo dire che le sue statistiche sono eccellenti."	"이 점을 보면 훌륭해. 놀라워."	"我必須說，牠的能力讓人驚豔。"	"Devo dizer que seus dados são impressionantes."
"appraise_stat_best_1|1"	"Its stats exceed my calculations. It's incredible!"	"この点において測定できないほど高い。最高だ！"	"Ses stats dépassent tous mes calculs, c'est incroyable !"	"Sus características están fuera de todo cálculo. ¡Es increíble!"	"Seine Werte sind so hoch, dass ich sie gar nicht berechnen kann! Unglaublich!"	"Delle statistiche così non si sono mai viste. Incredibile."	"이 점을 보면 측정할 수 없을 정도로 높아! 최고야!"	"牠的能力完全超出我的預測，太不可思議了！"	"Seus dados excederam meus cálculos. É Incrível!"
"appraise_overall_low_1|1"	"Overall, your {0} is not likely to make much headway in battle."	"きみの {0} は、全体的になかなか活躍が難しそうだ。"	"Dans l’ensemble, ton {0} n'ira pas très loin au combat."	"En su conjunto, no parece que tu {0} vaya a llegar muy lejos en combate."	"Dein {0} wird im Kampf insgesamt wahrscheinlich keine großen Fortschritte machen."	"Nel complesso, il tuo {0} non avrà grande successo nelle lotte."	"너의 {0} (은)는 전체적으로 좀처럼 활약이 어려워 보인다."	"整體而言，你的 {0} 應該很難在對戰中派上用場。"	"Em geral, parece que seu {0} não chegará longe em batalha."
"appraise_overall_mid_1|1"	"Overall, your {0} is above average."	"きみの {0} は、全体的に普通以上。"	"Dans l'ensemble, ton {0} est supérieur à la moyenne."	"En su conjunto, tu {0} está por encima de la media."	"Dein {0} ist insgesamt ein gutes Pokémon."	"Nel complesso, il tuo {0} è sopra la media."	"너의 {0} (은)는 전체적으로 보통이상이야."	"整體而言，你的 {0} 比平均值好一些。"	"Em geral, seu {0} está acima da média."
"appraise_overall_high_1|1"	"Overall, your {0} has certainly caught my attention."	"きみの {0} は、全体的に目を引くものがある。"	"Dans l'ensemble, ton {0} a retenu toute mon attention."	"En su conjunto, tu {0} me ha llamado ciertamente la atención."	"Dein {0} ist mir insgesamt wirklich aufgefallen."	"Nel complesso, il tuo {0} ha attirato la mia attenzione."	"너의 {0} (은)는 전체적으로 시선을 끄는 뭔가가 있어."	"整體而言，你的 {0} 吸引了我的注意力。"	"Em geral, seu {0} com certeza chamou minha atenção."
"appraise_overall_best_1|1"	"Overall, your {0} is a wonder! What a breathtaking Pokémon!"	"きみの {0} は、全体的に驚異的で、芸術的だ。"	"Dans l'ensemble, ton {0} est une merveille. Un Pokémon captivant !"	"En su conjunto, tu {0} es una maravilla para la vista.  ¡Qué espécimen tan impresionante!"	"Dein {0} ist insgesamt einfach erstaunlich. Wirklich ein atemberaubendes Exemplar!"	"Nel complesso, il tuo {0} è una meraviglia assoluta. Che esemplare unico!"	"너의 {0} (은)는 전체적으로 경이롭고 예술적이야."	"整體而言，你的 {0} 實在太棒了！牠是隻讓人驚豔的寶可夢！"	"Em geral, seu {0} é uma maravilha! Que Pokémon deslumbrante!"
"appraise_outro_1|1"	"This ends my analysis. Farewell."	"これでわたしの分析は終了。"	"Voilà, mon analyse est terminée. Je te laisse."	"Esto concluye mi análisis. Adiós."	"Meine Analyse ist damit abgeschlossen. Bis dann!"	"E con questo ho concluso la mia analisi. A presto!"	"이걸로 내 분석은 끝이야."	"這就是我的分析。再會。"	"Minha análise termina aqui. Adeus."
"appraise_intro_2|1"	"Hi {0}! Let's take a look at your {1}, shall we?"	"やぁ {0}！きみの {1} を調べてあげましょうか？"	"Salut, {0} ! Regardons ton {1} de plus près, d’accord ?"	"¡Hola, {0}! Vamos a echar un vistazo a tu {1}, ¿vale?"	"Hallo {0}! Jetzt wollen wir uns mal dein {1} ansehen, ja?"	"Ciao {0}! Che ne dici di dare un'occhiata al tuo {1}?"	"안녕 {0} ! 너의 {1} (을)를 조사해줄까?"	"你好！{0}！我們來看看你的 {1} 吧！"	"Oi, {0}! Vamos dar uma olhada em seu {1}?"
"appraise_size_tiny_2|1"	"Your {0} is so tiny, I almost didn't notice it!"	"きみの {0} は、とっても小さいね！よく見つけられたわね。"	"Ton {0} est si petit que j’ai failli ne pas le voir !"	"Tu {0} es tan pequeñín que casi no lo veo."	"Dein {0} ist so winzig, ich hätte es fast übersehen!"	"Il tuo {0} è così piccolo che non l'avevo nemmeno visto!"	"너의 {0} (은)는 정말 작네! 잘도 발견했어."	"你的 {0} 實在太小了，我差點就沒注意到牠的存在呢！"	"Seu {0} é tão pequeno que quase não o vi!"
"appraise_size_small_2|1"	"Aww, what a small {0}! It's rather cute, I'd say."	"小さい {0} だね！可愛いと思うわ。"	"Ce {0} est tout petit ! Il est si mignon..."	"Oooh... ¡Qué {0} tan pequeño! Es muy lindo, creo yo."	"Och, was für ein kleines {0}! So was von niedlich!"	"Oh, che {0} piccolino! Più carino di così..."	"작은 {0} (이)구나! 귀엽다고 생각해."	"天啊，好小一隻 {0}！好可愛喔！"	"Oun, que {0} pequeno! É muito fofo."
"appraise_size_large_2|1"	"Your {0} is rather sizable, that's for sure!"	"きみの {0} は、わりと大きいほうよね、確かに。"	"Ton {0} est plutôt grand !"	"No hay duda de que tu {0} es bastante grande."	"Dein {0} ist echt ganz schön groß!"	"Il tuo {0} è bello grosso, non c'è che dire!"	"너의 {0} (은)는 꽤 큰 편이야. 확실해."	"我跟你說，你的 {0} 算是蠻大的。"	"Sem dúvidas, seu {0} é muito grande!"
"appraise_size_huge_2|1"	"Your {0} is gigantic—the largest I've ever seen!"	"きみの {0} は巨大ね！今までで一番大きいわ。"	"Ton {0} est gigantesque. Le plus grand que j’ai jamais vu !"	"Tu {0} es gigantesco, ¡el más grande que he visto nunca!"	"Dein {0} ist gigantisch, das größte, das ich bisher gesehen habe!"	"Il tuo {0} è gigantesco, il più grande che abbia mai visto!"	"너의 {0} (은)는 정말 크구나! 지금까지 중 제일 커."	"你的 {0} 真是巨大！是我看過最大的！"	"Seu {0} é gigante, o maior que já vi!"
"appraise_stat_low_2|1"	"Its stats don't point to greatness in battle."	"ここに注目すると、まあまあの強さね。"	"Ses stats ne t’aideront pas beaucoup au combat."	"Sus características no te serán de mucha utilidad en combate."	"Seine Werte werden dir im Kampf nicht viel bringen."	"Delle statistiche del genere non gli saranno di grande aiuto nella lotta."	"여기에 주목하면 그럭저럭 강한 거네."	"牠的能力不太適合對戰。"	"Seus dados não indicam que será bom em batalhas."
"appraise_stat_mid_2|1"	"Its stats indicate that in battle, it'll get the job done."	"ここに注目すると、かなりの強さね。バトルで活躍してくれそう！"	"Ses stats indiquent qu'il va faire des dégâts au combat."	"Sus características te ayudarán a cumplir tu objetivo en combate."	"Seine Werte sind nicht von schlechten Eltern!"	"Delle statistiche del genere dovrebbero bastare nelle lotte."	"여기에 주목하면 꽤 강하네. 배틀에서 활약할 것 같아!"	"就牠的能力來看，牠在對戰中應該會有不錯的表現。"	"Seus dados indicam que cumprirá seu objetivo em batalha."
"appraise_stat_high_2|1"	"It's got excellent stats! How exciting!"	"ここに注目すると、素晴らしいわ！わくわくする！"	"Ses stats sont excellentes ! C'est super !"	"Cuenta con excelentes características. ¡Qué emocionante!"	"Es hat hervorragende Werte! Wie aufregend!"	"Ha delle statistiche eccellenti. Forte!"	"여기에 주목하면 훌륭해! 두근거려!"	"牠的能力真是優秀！真叫人興奮！"	"Seus dados são excelentes! Que emoção!"
"appraise_stat_best_2|1"	"I'm blown away by its stats. WOW!"	"ここに注目すると、最高ね！胸が熱くなる！"	"Je suis estomaquée par ses stats. Bravo !"	"Estoy flipando con sus características. ¡GUAU!"	"Seine Werte hauen mich um. WOW!"	"Che statistiche sbalorditive. Non riesco a credere ai miei occhi!"	"여기에 주목하면 최고야! 가슴이 뜨거워져!"	"哇！牠的能力太驚人了！"	"Estou impressionado com seus dados. UAU!"
"appraise_overall_low_2|1"	"Overall, your {0} may not be great in battle, but I still like it!"	"きみの {0} は、全体的にバトル向きではないけど、わたしは好きよ。"	"Dans l'ensemble, ton {0} n'est pas un combattant, mais je l'aime bien."	"En su conjunto, tu {0} puede que no sea el mejor en combate, pero aun así me gusta."	"Dein {0} ist zwar insgesamt im Kampf nicht allzu beeindruckend, aber ich mag es trotzdem!"	"Nel complesso, il tuo {0} potrebbe non essere forte nella lotta, ma mi piace lo stesso!"	"너의 {0} (은)는 전체적으로 배틀이 적성은 아니지만 난 좋아해."	"整體而言，你的 {0} 可能不太適合對戰，但我蠻喜歡牠的！"	"Em geral, seu {0} pode até não ser bom em batalha, mas gosto mesmo assim!"
"appraise_overall_mid_2|1"	"Overall, your {0} is a decent Pokémon."	"きみの {0} は、全体的に普通の強さだと思うわ！"	"Dans l’ensemble, ton {0} est un Pokémon solide !"	"En su conjunto, tu {0} está bastante bien."	"Dein {0} ist insgesamt ganz gut!"	"Nel complesso, il tuo {0} non è niente male."	"너의 {0} (은)는 전체적으로 보통의 강함이라고 생각해!"	"整體而言，你的 {0} 算是一隻不錯的寶可夢。"	"Em geral, seu {0} não está nada mal."
"appraise_overall_high_2|1"	"Overall, your {0} is a strong Pokémon. You should be proud!"	"きみの {0} は、全体的にとても強い。自慢できるわね！"	"Dans l'ensemble, ton {0} est très fort. Tu dois être fier !"	"En su conjunto, tu {0} es muy fuerte. ¡Qué orgullo debes sentir!"	"Dein {0} ist insgesamt sehr stark. Du kannst stolz sein!"	"Nel complesso, il tuo {0} è molto forte. Devi esserne orgoglioso!"	"너의 {0} (은)는 전체적으로 아주 강해. 자랑해도 되겠어!"	"整體而言，你的 {0} 是一隻很強的寶可夢。你應該引以為傲！"	"Em geral, seu {0} é muito forte. Deve estar orgulhoso!"
"appraise_overall_best_2|1"	"Overall, your {0} simply amazes me. It can accomplish anything!"	"きみの {0} は、全体的に言うことなしね。とっても頼もしいわ！"	"Dans l'ensemble, ton {0} m’étonne beaucoup. Il peut tout faire !"	"En su conjunto, tu {0} simplemente me fascina. ¡Puede lograr cualquier cosa!"	"Von deinem {0} bin ich insgesamt total beeindruckt. Es kann einfach alles!"	"Nel complesso, il tuo {0} è semplicemente stupefacente. Non ha rivali!"	"너의 {0} (은)는 전체적으로 말할 게 없어. 아주 든든하겠어!"	"整體而言，你的 {0} 實在太有魅力了。牠一定是所向無敵啊！"	"Em geral, seu {0} simplesmente me fascina. Pode conseguir o que quiser!"
"appraise_outro_2|1"	"Hope I was able to help. Take care!"	"参考になったかな？じゃあ、またね！"	"J’espère que ça t’a aidé. À Bientôt !"	"Espero haberte ayudado. ¡Cuídate!"	"Ich hoffe, das hat ein wenig geholfen. Bis demnächst!"	"Sono felice di averti potuto aiutare. A presto!"	"참고가 되었니? 그럼 다음에 봐!"	"希望我有幫上你的忙。冒險路上小心囉！"	"Espero ter ajudado. Até mais!"
"appraise_intro_3|1"	"Hey, {0}! You want me to check out your {1}?"	"ヘイ！{0}！{1} を見てやろうか？"	"Dis-moi, {0}... Veux-tu que j'évalue ton {1} ?"	"¡Hola, {0}! ¿Quieres que examine a tu {1}?"	"Hey {0}! Soll ich mir dein {1} mal ansehen?"	"Ehi, {0}! Vuoi che dia un'occhiata al tuo {1}?"	"Hey! {0} ! {1} (을)를 봐줄까?"	"嘿！{0}！你要我看看你的 {1} 嗎？"	"Ei, {0}! Quer que eu examine seu {1}?"
"appraise_size_tiny_3|1"	"Wh-whoa. That's the tiniest {0} I've ever seen!"	"なんと！今まで見たなかでいちばん小さい {0} だぜ！"	"Eh bien ! C’est le plus petit des {0} que j’ai jamais vu !"	"Guau... ¡Es el {0} más pequeñito que he visto nunca!"	"Hoppla, das ist das winzigste {0}, das ich je gesehen habe!"	"Accidenti! Questo {0} è il più piccolo che abbia mai visto!"	"이럴 수가! 지금까지 본 것 중 가장 작은 {0} (이)구나!"	"哇喔！這是我有史以來看過最小的 {0} ！"	"Ua… Uau. Este é o menor {0} que já vi!"
"appraise_size_small_3|1"	"Your {0} is a little small for its kind, don't you think?"	"きみの {0} は、小さめだね。普通はもう少し大きいぜ。"	"Ton {0} est petit pour son type, tu ne trouves pas ?"	"Tu {0} es un poco pequeño para su especie, ¿no crees?"	"Dein {0} ist ein bisschen klein geraten, meinst du nicht?"	"Il tuo {0} è un po' piccolo per la sua specie, non credi?"	"너의 {0} (은)는 작은 편이네. 보통은 좀 더 크지."	"你的 {0} 似乎有點偏小，你不覺得嗎？"	"Seu {0} é um pouco pequeno para sua espécie, não acha?"
"appraise_size_large_3|1"	"Your {0} is a BIG one!"	"きみの {0} はビッグなポケモンだ！"	"Ton {0} est très imposant !"	"¡Tu {0} es bastante grande!"	"Dein {0} ist wirklich groß!"	"Il tuo {0} è bello GRANDE!"	"너의 {0} (은)는 큰 포켓몬이야!"	"你的 {0} 真的好大！"	"Seu {0} é muito grande!"
"appraise_size_huge_3|1"	"Your {0} is just HUGE!"	"きみの {0} は... とてつもなく大きいぞ！"	"Ton {0} est énorme !"	"Tu {0} es... ¡ENORME!"	"Dein {0} ist ... RIESIG!"	"Il tuo {0} è... è... ENORME!!!"	"너의 {0} (은)는... 엄청나게 크다!"	"你的 {0} 也太巨大了吧！"	"Seu {0} é ENORME!"
"appraise_stat_low_3|1"	"Its stats are all right, but kinda basic, as far as I can see."	"まあまあ、といったところかな！"	"Ses stats ne sont pas mal, mais un peu basiques, il me semble."	"Sus características están... bien, supongo."	"Seine Werte sind okay."	"Credo che le sue statistiche non siano il massimo, ma possono andare."	"그럭저럭, 이야!"	"牠看起來很OK，但感覺就普通了些。"	"Seus dados estão... bons, eu acho, mas um pouco básicos."
"appraise_stat_mid_3|1"	"It's definitely got some good stats. Definitely!"	"かなりの強さだぜ！オレが保証する！"	"Il a quelques bonnes stats, c'est sûr !"	"Tiene buenas características, sin duda."	"Seine Werte können sich sehen lassen!"	"C'è certamente qualcosa di valido nelle sue statistiche."	"꽤 강한데! 내가 보증하지!"	"相信我！牠看起來真的蠻強的！"	"Tem bons dados, sem dúvida alguma!"
"appraise_stat_high_3|1"	"Its stats are really strong! Impressive!"	"素晴らしいぜ！本当にな！"	"Ses stats sont super élevées. Impressionnant !"	"¡Sus características son realmente fuertes! ¡Es impresionante!"	"Seine Werte sind wirklich hoch! Hut ab!"	"Che statistiche forti! Incredibile!"	"훌륭해! 정말이야!"	"牠實在是太強了！讓人印象深刻！"	"Seus dados são muito fortes. Impressionante!"
"appraise_stat_best_3|1"	"Its stats are the best I've ever seen! No doubt about it!"	"今まで見たなかでも、最高の部類だぜ！"	"Ses stats sont les meilleures que j'ai jamais vues ! Sans aucun doute !"	"¡Sus características son lo mejor que he visto nunca! ¡Qué pasada!"	"Seine Werte sind die besten, die ich je gesehen habe!"	"Le sue statistiche sono senza dubbio le migliori che abbia mai visto!"	"지금까지 본 것 중에서도 최고의 부류야!"	"這是我見過最強的等級了！無庸置疑！"	"Seus dados são os melhores que já vi! Sem dúvidas!"
"appraise_overall_low_3|1"	"Overall, your {0} has room for improvement as far as battling goes."	"きみの {0} は、全体的にまずまず、といったところだな。"	"Dans l'ensemble, ton {0} peut devenir un meilleur combattant."	"En su conjunto, tu {0} podría mejorar algo en lo que se refiere a combates."	"Dein {0} kann sich im Kampf noch verbessern!"	"Nel complesso, il tuo {0} potrebbe migliorare nelle lotte."	"너의 {0} (은)는 전체적으로 그저 그러네."	"整體而言，你的 {0} 還有很多進步的空間。"	"Em geral, seu {0} poderia melhorar no que se refere a batalhas."
"appraise_overall_mid_3|1"	"Overall, your {0} is pretty decent!"	"きみの {0} は、全体的に普通だと思うぜ。"	"Dans l'ensemble, ton {0} est plutôt bien !"	"En su conjunto, tu {0} está bastante bien."	"Dein {0} ist insgesamt ganz gut."	"Nel complesso, il tuo {0} non è malaccio."	"너의 {0} (은)는 전체적으로 보통이야."	"整體而言，你的 {0} 還算不錯！"	"Em geral, seu {0} está muito bem!"
"appraise_overall_high_3|1"	"Overall, your {0} is really strong!"	"きみの {0} は、全体的にとっても強いぜ！"	"Dans l'ensemble, ton {0} est vraiment fort !"	"En su conjunto, ¡tu {0} es realmente fuerte!"	"Dein {0} ist insgesamt wirklich stark!"	"Nel complesso, il tuo {0} è molto forte!"	"너의 {0} (은)는 전체적으로 아주 강해!"	"整體而言，你的 {0} 真的蠻強的！"	"Em geral, seu {0} é muito forte!"
"appraise_overall_best_3|1"	"Overall, your {0} looks like it can really battle with the best of them!"	"きみの {0} は、全体的にトップレベルだぜ！"	"Dans l'ensemble, ton {0} semble capable de tenir tête aux meilleurs !"	"En su conjunto, ¡tu {0} puede enfrentarse a los mejores!"	"Dein {0} kann es im Kampf mit allen aufnehmen!"	"Nel complesso, il tuo {0} sembra potercela fare contro i migliori!"	"너의 {0} (은)는 전체적으로 톱 레벨이야!"	"整體而言，你的 {0} 在對戰中應該是所向披靡！"	"Em geral, seu {0} parece que pode enfrentar os melhores!"
"appraise_outro_3|1"	"That's what I think! See ya!"	"オレの直感を信じなよ！じゃあな！"	"Voilà, je t’ai donné mon avis... À bientôt !"	"¡Esa es mi opinión! ¡Hasta la vista!"	"So sehe ich das! Tschüss!"	"Io la penso così! Ciaooo!"	"내 직감을 믿어봐! 그럼!"	"相信我的直覺吧！拜啦！"	"É o que acho! Até mais!"
"appraise_stat_highest_1|1"	"I see that its best attribute is its {0}."	"特筆すべきは、{0} の高さ。"	"Son meilleur atout est son capital {0}."	"Veo que su mejor atributo es su <b>{0}</b>."	"Seine beste Eigenschaft ist offensichtlich sein {0}."	"Vedo che la statistica {0} è il suo punto forte."	"두드러진 점은 {0} 의 키."	"牠的 {0} 非常值得期待。"	"Vejo que seus dados de {0} são seus melhores atributos."
"appraise_stat_highest_tie_1|1"	"It is matched equally by its {0}."	"それでいて、{0} も引けを取らない。"	"Son capital {0} est du même calibre !"	"Que se corresponde igualmente con su <b>{0}</b>."	"Sein {0} ist genauso gut!"	"Non è male neanche la sua statistica {0}."	"그리고 {0} 도 뒤처지지 않아."	"而且牠的 {0} 也不遑多讓。"	"Seu {0} é do mesmo calibre."
"appraise_stat_highest_2|1"	"Its {0} is its strongest feature."	"{0} が際立ってるわ。"	"Son capital {0} est son plus fort atout."	"Su característica más fuerte es su <b>{0}</b>."	"Sein {0} ist seine stärkste Eigenschaft."	"Il suo punto forte è la statistica {0}."	"{0} (이)가 눈에 띄네."	"{0} 是牠最強大的武器。"	"Seus dados de {0} são seus atributos mais fortes."
